LOCATION,TIME,UE,CPI,c_ue,c_cpi
BEL,1991-01-01,6.441667,63.13078,-1.6539389312977102,3.2152974527407188
BEL,1992-01-01,7.091667,64.66357,10.090555752105788,2.4279598636354653
BEL,1993-01-01,8.625,66.44468,21.621615904976924,2.7544257145097277
BEL,1994-01-01,9.75,68.02443,13.043478260869565,2.377541738480778
BEL,1995-01-01,9.675,69.023,-0.769230769230762,1.467957908651349
BEL,1996-01-01,9.541667,70.45663,-1.3781188630490993,2.07703229358331
BEL,1997-01-01,9.216666,71.60378,-3.4061238984760243,1.6281647305583538
BEL,1998-01-01,9.341666,72.28348,1.3562387961113054,0.9492515618588807
BEL,1999-01-01,8.4,73.09367,-10.080279042303586,1.1208508500144234
BEL,2000-01-01,6.875,74.95354,-18.15476190476191,2.5445021436192774
BEL,2001-01-01,6.591667,76.80434,-4.12120727272727,2.4692629594279234
BEL,2002-01-01,7.525,78.06794,14.159286262488688,1.6452195279589628
BEL,2003-01-01,8.175,79.30841,8.637873754152828,1.5889621270908418
BEL,2004-01-01,8.391666,80.97173,2.650348623853211,2.097280729748584
BEL,2005-01-01,8.433333,83.22391,0.4965283413329196,2.7814398926637853
BEL,2006-01-01,8.25,84.71461,-2.173909176834347,1.7911919783629364
BEL,2007-01-01,7.483333,86.25901,-9.292933333333332,1.8230621612966291
BEL,2008-01-01,6.975,90.13156,-6.792868899459644,4.489444059235075
BEL,2009-01-01,7.891667,90.08366,13.14217921146954,-0.053144536719433796
BEL,2010-01-01,8.316667,92.05586,5.385427438841511,2.189298258973937
BEL,2011-01-01,7.166667,95.30735,-13.827654756406625,3.5320836718053625
BEL,2012-01-01,7.566667,98.01376,5.5813950892374296,2.83966556619191
BEL,2013-01-01,8.45,99.10474,11.674003891013038,1.1130886112317309
BEL,2014-01-01,8.533334,99.4417,0.9862011834319608,0.3400039190859999
BEL,2015-01-01,8.5,100.0,-0.3906327819818136,0.5614344887506978
BEL,2016-01-01,7.858333,101.9739,-7.549023529411763,1.9739000000000004
BEL,2017-01-01,7.1,104.1418,-9.650049189821816,2.1259361464060933
BEL,2018-01-01,5.958333,106.28,-16.07981690140845,2.0531621308638774
BEL,2019-01-01,5.366667,107.807,-9.930059296786535,1.4367707941287176
BEL,2020-01-01,5.558333,108.6057,3.5714159272412576,0.7408609830530454
CAN,1960-01-01,6.991667,12.27943,16.689846081232485,1.3586653712846164
CAN,1961-01-01,7.183333,12.40453,2.741349094572161,1.0187769301995269
CAN,1962-01-01,5.958333,12.53621,-17.053365060480985,1.0615476765343075
CAN,1963-01-01,5.583333,12.74032,-6.2937066458017705,1.6281635358692939
CAN,1964-01-01,4.708333,12.98393,-15.671642726665238,1.9121183769324501
CAN,1965-01-01,3.95,13.28681,-16.10618875088061,2.332729766719308
CAN,1966-01-01,3.375,13.79378,-14.556962025316459,3.8155885423213007
CAN,1967-01-01,3.833333,14.2876,13.580237037037039,3.580019400048424
CAN,1968-01-01,4.525,14.867,18.043488525520747,4.055264705058943
CAN,1969-01-01,4.425,15.54517,-2.209944751381227,4.561579336786169
CAN,1970-01-01,5.675,16.06532,28.24858757062147,3.346055398557875
CAN,1971-01-01,6.2,16.49987,9.25110132158591,2.7048947671132697
CAN,1972-01-01,6.233333,17.32289,0.5376290322580618,4.988039299703571
CAN,1973-01-01,5.566667,18.61996,-10.69517704252284,7.4876074373271315
CAN,1974-01-01,5.333333,20.66763,-4.191628491519255,10.997177222722284
CAN,1975-01-01,6.916667,22.87332,29.687514355469663,10.672196086343721
CAN,1976-01-01,7.083333,24.59837,2.4096287995359513,7.541756072139941
CAN,1977-01-01,8.058333,26.56044,13.764706530103833,7.976422828016656
CAN,1978-01-01,8.383333,28.9439,4.033092204057602,8.973721820873447
CAN,1979-01-01,7.55,31.59073,-9.940354271982283,9.144690245613068
CAN,1980-01-01,7.55,34.79062,0.0,10.12920562456137
CAN,1981-01-01,7.633333,39.12958,1.1037483443708682,12.4716374700997
CAN,1982-01-01,11.03333,43.34343,44.541447359888515,10.768963019792192
CAN,1983-01-01,12.03333,45.88491,9.063446846962794,5.863587630236001
CAN,1984-01-01,11.35,47.86015,-5.678644232311419,4.304770348247386
CAN,1985-01-01,10.66667,49.75639,-6.020528634361231,3.962043579052732
CAN,1986-01-01,9.675,51.84356,-9.296903344717697,4.1947777963795065
CAN,1987-01-01,8.833333,54.10192,-8.699400516795876,4.356105174876115
CAN,1988-01-01,7.766667,56.28127,-12.075464606621303,4.028230421397243
CAN,1989-01-01,7.566667,59.08612,-2.5751071856177195,4.983629544962297
CAN,1990-01-01,8.15,61.91072,7.709246356420873,4.780479747189352
CAN,1991-01-01,10.325,65.39373,26.687116564417163,5.625859301910893
CAN,1992-01-01,11.19167,66.36819,8.393898305084754,1.4901428623202766
CAN,1993-01-01,11.4,67.606,1.8614737568209223,1.8650651765552082
CAN,1994-01-01,10.41667,67.71793,-8.62570175438597,0.16556222820459868
CAN,1995-01-01,9.508333,69.17303,-8.720032409589624,2.14876621302512
CAN,1996-01-01,9.608334,70.25941,1.0517195811295093,1.5705253911820916
CAN,1997-01-01,9.116667,71.39848,-5.117088977131724,1.6212347926064334
CAN,1998-01-01,8.283334,72.10956,-9.140763833975726,0.9959315660501392
CAN,1999-01-01,7.591667,73.36055,-8.350103955726038,1.7348462533955298
CAN,2000-01-01,6.816667,75.35555,-10.208561571523095,2.719445260429468
CAN,2001-01-01,7.216667,77.25836,5.867970373204388,2.5251092985188253
CAN,2002-01-01,7.675,79.00316,6.3510343486820116,2.2583963728973773
CAN,2003-01-01,7.575,81.18251,-1.3029315960912007,2.7585605436542027
CAN,2004-01-01,7.191667,82.69028,-5.060501650165021,1.8572596486607866
CAN,2005-01-01,6.758333,84.52068,-6.025501458841176,2.21356125532529
CAN,2006-01-01,6.35,86.2128,-6.04191891698738,2.0020189141876314
CAN,2007-01-01,6.066667,88.05636,-4.461937007874013,2.138383163520958
CAN,2008-01-01,6.175,90.14353,1.7857086930929291,2.370266043247757
CAN,2009-01-01,8.375,90.41348,35.627530364372475,0.2994668613487941
